,Country,Gender,Demographics Response,Question,Value
6,Afghanistan,F,15-24,... if she burns the food,17.3
9,Afghanistan,F,25-34,... if she burns the food,18.2
12,Afghanistan,F,35-49,... if she burns the food,18.8
22,Afghanistan,M,25-34,... if she burns the food,8.2
25,Afghanistan,M,35-49,... if she burns the food,8.6
26,Afghanistan,M,15-24,... if she burns the food,9.4
30,Afghanistan,F,15-24,... for at least one specific reason,56.35000000000001
31,Afghanistan,F,25-34,... for at least one specific reason,56.35000000000001
32,Afghanistan,F,35-49,... for at least one specific reason,56.35000000000001
33,Afghanistan,F,15-24,... if she argues with him,56.35000000000001
34,Afghanistan,F,25-34,... if she argues with him,56.35000000000001
35,Afghanistan,F,35-49,... if she argues with him,56.35000000000001
36,Afghanistan,F,15-24,... if she goes out without telling him,56.35000000000001
37,Afghanistan,F,25-34,... if she goes out without telling him,56.35000000000001
38,Afghanistan,F,35-49,... if she goes out without telling him,56.35000000000001
39,Afghanistan,F,15-24,... if she neglects the children,46.5
40,Afghanistan,F,25-34,... if she neglects the children,50.2
41,Afghanistan,F,35-49,... if she neglects the children,48.1
42,Afghanistan,F,15-24,... if she refuses to have sex with him,32.1
43,Afghanistan,F,25-34,... if she refuses to have sex with him,34.3
44,Afghanistan,F,35-49,... if she refuses to have sex with him,33.5
105,Afghanistan,M,15-24,... for at least one specific reason,56.35000000000001
106,Afghanistan,M,25-34,... for at least one specific reason,56.35000000000001
107,Afghanistan,M,35-49,... for at least one specific reason,56.35000000000001
108,Afghanistan,M,15-24,... if she argues with him,44.4
109,Afghanistan,M,25-34,... if she argues with him,44.6
110,Afghanistan,M,35-49,... if she argues with him,46.6
111,Afghanistan,M,15-24,... if she goes out without telling him,56.35000000000001
112,Afghanistan,M,25-34,... if she goes out without telling him,56.35000000000001
113,Afghanistan,M,35-49,... if she goes out without telling him,56.35000000000001
114,Afghanistan,M,15-24,... if she neglects the children,24.8
115,Afghanistan,M,25-34,... if she neglects the children,27.0
116,Afghanistan,M,35-49,... if she neglects the children,25.7
117,Afghanistan,M,15-24,... if she refuses to have sex with him,21.3
118,Afghanistan,M,25-34,... if she refuses to have sex with him,18.5
119,Afghanistan,M,35-49,... if she refuses to have sex with him,20.1
182,Albania,F,15-24,... if she burns the food,0.6
187,Albania,F,25-34,... if she burns the food,0.8
190,Albania,F,35-49,... if she burns the food,1.0
196,Albania,M,25-34,... if she burns the food,0.2
199,Albania,M,35-49,... if she burns the food,0.4
208,Albania,M,15-24,... if she burns the food,0.9
210,Albania,F,15-24,... for at least one specific reason,4.7
211,Albania,F,25-34,... for at least one specific reason,6.9
212,Albania,F,35-49,... for at least one specific reason,8.2
213,Albania,F,15-24,... if she argues with him,1.0
214,Albania,F,25-34,... if she argues with him,1.7
215,Albania,F,35-49,... if she argues with him,2.4
