,Country,Gender,Demographics Response,Question,Value
1,Afghanistan,F,Higher,... if she burns the food,10.1
2,Afghanistan,F,Secondary,... if she burns the food,13.7
3,Afghanistan,F,Primary,... if she burns the food,13.8
13,Afghanistan,F,No education,... if she burns the food,19.1
16,Afghanistan,M,Higher,... if she burns the food,4.5
19,Afghanistan,M,Primary,... if she burns the food,6.3
21,Afghanistan,M,Secondary,... if she burns the food,7.1
28,Afghanistan,M,No education,... if she burns the food,10.6
45,Afghanistan,F,Higher,... for at least one specific reason,56.35000000000001
46,Afghanistan,F,No education,... for at least one specific reason,56.35000000000001
47,Afghanistan,F,Primary,... for at least one specific reason,56.35000000000001
48,Afghanistan,F,Secondary,... for at least one specific reason,56.35000000000001
49,Afghanistan,F,Higher,... if she argues with him,37.7
50,Afghanistan,F,No education,... if she argues with him,56.35000000000001
51,Afghanistan,F,Primary,... if she argues with him,56.35000000000001
52,Afghanistan,F,Secondary,... if she argues with him,55.4
53,Afghanistan,F,Higher,... if she goes out without telling him,41.1
54,Afghanistan,F,No education,... if she goes out without telling him,56.35000000000001
55,Afghanistan,F,Primary,... if she goes out without telling him,56.35000000000001
56,Afghanistan,F,Secondary,... if she goes out without telling him,56.35000000000001
57,Afghanistan,F,Higher,... if she neglects the children,33.4
58,Afghanistan,F,No education,... if she neglects the children,48.9
59,Afghanistan,F,Primary,... if she neglects the children,50.6
60,Afghanistan,F,Secondary,... if she neglects the children,44.4
61,Afghanistan,F,Higher,... if she refuses to have sex with him,10.8
62,Afghanistan,F,No education,... if she refuses to have sex with him,34.2
63,Afghanistan,F,Primary,... if she refuses to have sex with him,35.9
64,Afghanistan,F,Secondary,... if she refuses to have sex with him,26.6
120,Afghanistan,M,Higher,... for at least one specific reason,55.5
121,Afghanistan,M,No education,... for at least one specific reason,56.35000000000001
122,Afghanistan,M,Primary,... for at least one specific reason,56.35000000000001
123,Afghanistan,M,Secondary,... for at least one specific reason,56.35000000000001
