,Country,Gender,Demographics Response,Question,Value
5,Afghanistan,F,Employed for kind,... if she burns the food,17.0
7,Afghanistan,F,Unemployed,... if she burns the food,18.0
14,Afghanistan,F,Employed for cash,... if she burns the food,20.8
18,Afghanistan,M,Unemployed,... if she burns the food,5.2
23,Afghanistan,M,Employed for cash,... if she burns the food,8.4
29,Afghanistan,M,Employed for kind,... if she burns the food,10.7
65,Afghanistan,F,Employed for cash,... for at least one specific reason,56.35000000000001
66,Afghanistan,F,Employed for kind,... for at least one specific reason,56.35000000000001
67,Afghanistan,F,Unemployed,... for at least one specific reason,56.35000000000001
68,Afghanistan,F,Employed for cash,... if she argues with him,56.35000000000001
69,Afghanistan,F,Employed for kind,... if she argues with him,53.5
70,Afghanistan,F,Unemployed,... if she argues with him,56.35000000000001
71,Afghanistan,F,Employed for cash,... if she goes out without telling him,56.35000000000001
72,Afghanistan,F,Employed for kind,... if she goes out without telling him,56.35000000000001
73,Afghanistan,F,Unemployed,... if she goes out without telling him,56.35000000000001
74,Afghanistan,F,Employed for cash,... if she neglects the children,48.1
75,Afghanistan,F,Employed for kind,... if she neglects the children,49.3
76,Afghanistan,F,Unemployed,... if she neglects the children,48.6
77,Afghanistan,F,Employed for cash,... if she refuses to have sex with him,32.5
78,Afghanistan,F,Employed for kind,... if she refuses to have sex with him,31.4
79,Afghanistan,F,Unemployed,... if she refuses to have sex with him,33.7
140,Afghanistan,M,Employed for cash,... for at least one specific reason,56.35000000000001
141,Afghanistan,M,Employed for kind,... for at least one specific reason,56.35000000000001
142,Afghanistan,M,Unemployed,... for at least one specific reason,56.35000000000001
143,Afghanistan,M,Employed for cash,... if she argues with him,45.5
144,Afghanistan,M,Employed for kind,... if she argues with him,47.8
145,Afghanistan,M,Unemployed,... if she argues with him,41.1
146,Afghanistan,M,Employed for cash,... if she goes out without telling him,56.35000000000001
147,Afghanistan,M,Employed for kind,... if she goes out without telling him,56.35000000000001
148,Afghanistan,M,Unemployed,... if she goes out without telling him,54.8
149,Afghanistan,M,Employed for cash,... if she neglects the children,25.6
150,Afghanistan,M,Employed for kind,... if she neglects the children,30.6
151,Afghanistan,M,Unemployed,... if she neglects the children,31.8
152,Afghanistan,M,Employed for cash,... if she refuses to have sex with him,18.9
153,Afghanistan,M,Employed for kind,... if she refuses to have sex with him,27.8
154,Afghanistan,M,Unemployed,... if she refuses to have sex with him,17.0
184,Albania,F,Employed for cash,... if she burns the food,0.6
188,Albania,F,Unemployed,... if she burns the food,0.8
193,Albania,F,Employed for kind,... if she burns the food,2.4
198,Albania,M,Employed for cash,... if she burns the food,0.3
201,Albania,M,Employed for kind,... if she burns the food,0.5
