,Country,Gender,Demographics Response,Question,Value
0,Afghanistan,F,Never married,... if she burns the food,14.9
4,Afghanistan,F,"Widowed, divorced, separated",... if she burns the food,13.8
10,Afghanistan,F,Married or living together,... if she burns the food,18.3
15,Afghanistan,M,Never married,... if she burns the food,14.9
20,Afghanistan,M,"Widowed, divorced, separated",... if she burns the food,6.3
24,Afghanistan,M,Married or living together,... if she burns the food,8.5
80,Afghanistan,F,Married or living together,... for at least one specific reason,56.35000000000001
81,Afghanistan,F,Never married,... for at least one specific reason,14.9
82,Afghanistan,F,"Widowed, divorced, separated",... for at least one specific reason,56.35000000000001
83,Afghanistan,F,Married or living together,... if she argues with him,56.35000000000001
84,Afghanistan,F,Never married,... if she argues with him,14.9
85,Afghanistan,F,"Widowed, divorced, separated",... if she argues with him,51.5
86,Afghanistan,F,Married or living together,... if she goes out without telling him,56.35000000000001
87,Afghanistan,F,Never married,... if she goes out without telling him,14.9
88,Afghanistan,F,"Widowed, divorced, separated",... if she goes out without telling him,56.35000000000001
89,Afghanistan,F,Married or living together,... if she neglects the children,48.6
90,Afghanistan,F,Never married,... if she neglects the children,14.9
91,Afghanistan,F,"Widowed, divorced, separated",... if she neglects the children,43.1
92,Afghanistan,F,Married or living together,... if she refuses to have sex with him,33.5
93,Afghanistan,F,Never married,... if she refuses to have sex with him,14.9
94,Afghanistan,F,"Widowed, divorced, separated",... if she refuses to have sex with him,29.1
155,Afghanistan,M,Married or living together,... for at least one specific reason,56.35000000000001
156,Afghanistan,M,Never married,... for at least one specific reason,14.9
157,Afghanistan,M,"Widowed, divorced, separated",... for at least one specific reason,48.8
158,Afghanistan,M,Married or living together,... if she argues with him,45.5
159,Afghanistan,M,Never married,... if she argues with him,14.9
160,Afghanistan,M,"Widowed, divorced, separated",... if she argues with him,35.1
161,Afghanistan,M,Married or living together,... if she goes out without telling him,56.35000000000001
162,Afghanistan,M,Never married,... if she goes out without telling him,14.9
163,Afghanistan,M,"Widowed, divorced, separated",... if she goes out without telling him,36.5
164,Afghanistan,M,Married or living together,... if she neglects the children,26.1
165,Afghanistan,M,Never married,... if she neglects the children,14.9
166,Afghanistan,M,"Widowed, divorced, separated",... if she neglects the children,29.3
167,Afghanistan,M,Married or living together,... if she refuses to have sex with him,19.7
168,Afghanistan,M,Never married,... if she refuses to have sex with him,14.9
169,Afghanistan,M,"Widowed, divorced, separated",... if she refuses to have sex with him,5.0
185,Albania,F,Never married,... if she burns the food,0.6
186,Albania,F,"Widowed, divorced, separated",... if she burns the food,0.6
189,Albania,F,Married or living together,... if she burns the food,0.9
200,Albania,M,Never married,... if she burns the food,0.4
204,Albania,M,Married or living together,... if she burns the food,0.6
209,Albania,M,"Widowed, divorced, separated",... if she burns the food,1.6
260,Albania,F,Married or living together,... for at least one specific reason,7.9
261,Albania,F,Never married,... for at least one specific reason,4.3
262,Albania,F,"Widowed, divorced, separated",... for at least one specific reason,7.0
263,Albania,F,Married or living together,... if she argues with him,2.0
264,Albania,F,Never married,... if she argues with him,1.1
265,Albania,F,"Widowed, divorced, separated",... if she argues with him,3.4
266,Albania,F,Married or living together,... if she goes out without telling him,4.6
267,Albania,F,Never married,... if she goes out without telling him,1.7
268,Albania,F,"Widowed, divorced, separated",... if she goes out without telling him,2.3
269,Albania,F,Married or living together,... if she neglects the children,6.1
270,Albania,F,Never married,... if she neglects the children,3.2
271,Albania,F,"Widowed, divorced, separated",... if she neglects the children,5.1
272,Albania,F,Married or living together,... if she refuses to have sex with him,1.0
273,Albania,F,Never married,... if she refuses to have sex with him,0.5
274,Albania,F,"Widowed, divorced, separated",... if she refuses to have sex with him,1.1
335,Albania,M,Married or living together,... for at least one specific reason,11.7
336,Albania,M,Never married,... for at least one specific reason,10.6
337,Albania,M,"Widowed, divorced, separated",... for at least one specific reason,29.7
338,Albania,M,Married or living together,... if she argues with him,4.1
339,Albania,M,Never married,... if she argues with him,3.8
340,Albania,M,"Widowed, divorced, separated",... if she argues with him,13.1
341,Albania,M,Married or living together,... if she goes out without telling him,7.7
342,Albania,M,Never married,... if she goes out without telling him,5.1
343,Albania,M,"Widowed, divorced, separated",... if she goes out without telling him,16.7
344,Albania,M,Married or living together,... if she neglects the children,8.5
345,Albania,M,Never married,... if she neglects the children,7.2
346,Albania,M,"Widowed, divorced, separated",... if she neglects the children,24.5
347,Albania,M,Married or living together,... if she refuses to have sex with him,1.3
348,Albania,M,Never married,... if she refuses to have sex with him,2.8
349,Albania,M,"Widowed, divorced, separated",... if she refuses to have sex with him,4.6
364,Angola,F,Never married,... if she burns the food,9.8
368,Angola,F,Married or living together,... if she burns the food,10.8
370,Angola,F,"Widowed, divorced, separated",... if she burns the food,12.2
377,Angola,M,Married or living together,... if she burns the food,4.4
383,Angola,M,Never married,... if she burns the food,7.3
388,Angola,M,"Widowed, divorced, separated",... if she burns the food,9.3
440,Angola,F,Married or living together,... for at least one specific reason,27.2
441,Angola,F,Never married,... for at least one specific reason,21.1
442,Angola,F,"Widowed, divorced, separated",... for at least one specific reason,28.5
443,Angola,F,Married or living together,... if she argues with him,16.7
444,Angola,F,Never married,... if she argues with him,12.3
445,Angola,F,"Widowed, divorced, separated",... if she argues with him,17.3
446,Angola,F,Married or living together,... if she goes out without telling him,15.9
447,Angola,F,Never married,... if she goes out without telling him,11.9
448,Angola,F,"Widowed, divorced, separated",... if she goes out without telling him,15.4
449,Angola,F,Married or living together,... if she neglects the children,17.2
450,Angola,F,Never married,... if she neglects the children,14.1
451,Angola,F,"Widowed, divorced, separated",... if she neglects the children,19.0
452,Angola,F,Married or living together,... if she refuses to have sex with him,12.5
453,Angola,F,Never married,... if she refuses to have sex with him,8.6
454,Angola,F,"Widowed, divorced, separated",... if she refuses to have sex with him,16.2
515,Angola,M,Married or living together,... for at least one specific reason,19.1
516,Angola,M,Never married,... for at least one specific reason,20.6
517,Angola,M,"Widowed, divorced, separated",... for at least one specific reason,25.1
518,Angola,M,Married or living together,... if she argues with him,10.5
519,Angola,M,Never married,... if she argues with him,10.6
520,Angola,M,"Widowed, divorced, separated",... if she argues with him,17.4
521,Angola,M,Married or living together,... if she goes out without telling him,8.1
522,Angola,M,Never married,... if she goes out without telling him,8.0
523,Angola,M,"Widowed, divorced, separated",... if she goes out without telling him,12.8
524,Angola,M,Married or living together,... if she neglects the children,11.7
525,Angola,M,Never married,... if she neglects the children,11.2
526,Angola,M,"Widowed, divorced, separated",... if she neglects the children,16.7
527,Angola,M,Married or living together,... if she refuses to have sex with him,5.1
528,Angola,M,Never married,... if she refuses to have sex with him,5.8
529,Angola,M,"Widowed, divorced, separated",... if she refuses to have sex with him,9.8
547,Armenia,F,Never married,... if she burns the food,0.3
548,Armenia,F,"Widowed, divorced, separated",... if she burns the food,0.3
551,Armenia,F,Married or living together,... if she burns the food,0.4
556,Armenia,M,"Widowed, divorced, separated",... if she burns the food,0.0
557,Armenia,M,Married or living together,... if she burns the food,0.4
569,Armenia,M,Never married,... if she burns the food,1.0
620,Armenia,F,Married or living together,... for at least one specific reason,11.4
621,Armenia,F,Never married,... for at least one specific reason,8.4
622,Armenia,F,"Widowed, divorced, separated",... for at least one specific reason,5.3
623,Armenia,F,Married or living together,... if she argues with him,7.1
624,Armenia,F,Never married,... if she argues with him,4.7
625,Armenia,F,"Widowed, divorced, separated",... if she argues with him,3.2
626,Armenia,F,Married or living together,... if she goes out without telling him,5.7
627,Armenia,F,Never married,... if she goes out without telling him,5.0
628,Armenia,F,"Widowed, divorced, separated",... if she goes out without telling him,2.5
629,Armenia,F,Married or living together,... if she neglects the children,9.9
630,Armenia,F,Never married,... if she neglects the children,6.8
631,Armenia,F,"Widowed, divorced, separated",... if she neglects the children,3.8
632,Armenia,F,Married or living together,... if she refuses to have sex with him,0.9
633,Armenia,F,Never married,... if she refuses to have sex with him,0.5
634,Armenia,F,"Widowed, divorced, separated",... if she refuses to have sex with him,0.8
695,Armenia,M,Married or living together,... for at least one specific reason,21.3
696,Armenia,M,Never married,... for at least one specific reason,23.2
697,Armenia,M,"Widowed, divorced, separated",... for at least one specific reason,42.3
698,Armenia,M,Married or living together,... if she argues with him,15.8
699,Armenia,M,Never married,... if she argues with him,16.0
700,Armenia,M,"Widowed, divorced, separated",... if she argues with him,27.5
701,Armenia,M,Married or living together,... if she goes out without telling him,10.3
702,Armenia,M,Never married,... if she goes out without telling him,12.9
703,Armenia,M,"Widowed, divorced, separated",... if she goes out without telling him,22.5
704,Armenia,M,Married or living together,... if she neglects the children,16.5
705,Armenia,M,Never married,... if she neglects the children,17.2
706,Armenia,M,"Widowed, divorced, separated",... if she neglects the children,33.7
707,Armenia,M,Married or living together,... if she refuses to have sex with him,1.5
708,Armenia,M,Never married,... if she refuses to have sex with him,1.4
709,Armenia,M,"Widowed, divorced, separated",... if she refuses to have sex with him,9.1
722,Azerbaijan,F,"Widowed, divorced, separated",... if she burns the food,8.9
724,Azerbaijan,F,Never married,... if she burns the food,9.9
730,Azerbaijan,F,Married or living together,... if she burns the food,13.6
740,Azerbaijan,M,"Widowed, divorced, separated",... if she burns the food,3.8
742,Azerbaijan,M,Married or living together,... if she burns the food,5.6
747,Azerbaijan,M,Never married,... if she burns the food,9.3
800,Azerbaijan,F,Married or living together,... for at least one specific reason,54.7
801,Azerbaijan,F,Never married,... for at least one specific reason,39.0
802,Azerbaijan,F,"Widowed, divorced, separated",... for at least one specific reason,41.6
803,Azerbaijan,F,Married or living together,... if she argues with him,35.1
804,Azerbaijan,F,Never married,... if she argues with him,24.6
805,Azerbaijan,F,"Widowed, divorced, separated",... if she argues with him,26.6
806,Azerbaijan,F,Married or living together,... if she goes out without telling him,48.7
807,Azerbaijan,F,Never married,... if she goes out without telling him,31.4
808,Azerbaijan,F,"Widowed, divorced, separated",... if she goes out without telling him,36.2
809,Azerbaijan,F,Married or living together,... if she neglects the children,38.8
810,Azerbaijan,F,Never married,... if she neglects the children,27.3
811,Azerbaijan,F,"Widowed, divorced, separated",... if she neglects the children,29.0
812,Azerbaijan,F,Married or living together,... if she refuses to have sex with him,17.1
813,Azerbaijan,F,Never married,... if she refuses to have sex with him,8.9
814,Azerbaijan,F,"Widowed, divorced, separated",... if she refuses to have sex with him,11.3
875,Azerbaijan,M,Married or living together,... for at least one specific reason,54.8
876,Azerbaijan,M,Never married,... for at least one specific reason,56.35000000000001
877,Azerbaijan,M,"Widowed, divorced, separated",... for at least one specific reason,56.35000000000001
878,Azerbaijan,M,Married or living together,... if she argues with him,48.7
879,Azerbaijan,M,Never married,... if she argues with him,56.2
880,Azerbaijan,M,"Widowed, divorced, separated",... if she argues with him,56.35000000000001
881,Azerbaijan,M,Married or living together,... if she goes out without telling him,36.8
882,Azerbaijan,M,Never married,... if she goes out without telling him,45.5
883,Azerbaijan,M,"Widowed, divorced, separated",... if she goes out without telling him,32.6
