,Country,Gender,Demographics Response,Question,Value
8,Afghanistan,F,Rural,... if she burns the food,18.1
11,Afghanistan,F,Urban,... if she burns the food,18.3
17,Afghanistan,M,Urban,... if she burns the food,4.6
27,Afghanistan,M,Rural,... if she burns the food,9.7
95,Afghanistan,F,Rural,... for at least one specific reason,56.35000000000001
96,Afghanistan,F,Urban,... for at least one specific reason,56.35000000000001
97,Afghanistan,F,Rural,... if she argues with him,56.35000000000001
98,Afghanistan,F,Urban,... if she argues with him,54.7
99,Afghanistan,F,Rural,... if she goes out without telling him,56.35000000000001
100,Afghanistan,F,Urban,... if she goes out without telling him,56.35000000000001
101,Afghanistan,F,Rural,... if she neglects the children,48.9
102,Afghanistan,F,Urban,... if she neglects the children,46.7
103,Afghanistan,F,Rural,... if she refuses to have sex with him,35.2
104,Afghanistan,F,Urban,... if she refuses to have sex with him,27.4
170,Afghanistan,M,Rural,... for at least one specific reason,56.35000000000001
171,Afghanistan,M,Urban,... for at least one specific reason,56.35000000000001
172,Afghanistan,M,Rural,... if she argues with him,47.0
173,Afghanistan,M,Urban,... if she argues with him,40.4
174,Afghanistan,M,Rural,... if she goes out without telling him,56.35000000000001
175,Afghanistan,M,Urban,... if she goes out without telling him,46.0
176,Afghanistan,M,Rural,... if she neglects the children,28.1
177,Afghanistan,M,Urban,... if she neglects the children,19.6
178,Afghanistan,M,Rural,... if she refuses to have sex with him,21.9
179,Afghanistan,M,Urban,... if she refuses to have sex with him,12.0
181,Albania,F,Urban,... if she burns the food,0.4
192,Albania,F,Rural,... if she burns the food,1.4
202,Albania,M,Rural,... if she burns the food,0.5
203,Albania,M,Urban,... if she burns the food,0.5
275,Albania,F,Rural,... for at least one specific reason,10.3
276,Albania,F,Urban,... for at least one specific reason,4.5
277,Albania,F,Rural,... if she argues with him,3.1
278,Albania,F,Urban,... if she argues with him,0.9
279,Albania,F,Rural,... if she goes out without telling him,5.7
280,Albania,F,Urban,... if she goes out without telling him,2.3
281,Albania,F,Rural,... if she neglects the children,7.7
