,Country,Gender,Demographics Question,Demographics Response,Question,Value
0,Afghanistan,F,Marital status,Never married,... if she burns the food,14.9
1,Afghanistan,F,Education,Higher,... if she burns the food,10.1
2,Afghanistan,F,Education,Secondary,... if she burns the food,13.7
3,Afghanistan,F,Education,Primary,... if she burns the food,13.8
4,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,13.8
5,Afghanistan,F,Employment,Employed for kind,... if she burns the food,17.0
6,Afghanistan,F,Age,15-24,... if she burns the food,17.3
7,Afghanistan,F,Employment,Unemployed,... if she burns the food,18.0
8,Afghanistan,F,Residence,Rural,... if she burns the food,18.1
9,Afghanistan,F,Age,25-34,... if she burns the food,18.2
10,Afghanistan,F,Marital status,Married or living together,... if she burns the food,18.3
11,Afghanistan,F,Residence,Urban,... if she burns the food,18.3
12,Afghanistan,F,Age,35-49,... if she burns the food,18.8
13,Afghanistan,F,Education,No education,... if she burns the food,19.1
14,Afghanistan,F,Employment,Employed for cash,... if she burns the food,20.8
15,Afghanistan,M,Marital status,Never married,... if she burns the food,14.9
16,Afghanistan,M,Education,Higher,... if she burns the food,4.5
17,Afghanistan,M,Residence,Urban,... if she burns the food,4.6
18,Afghanistan,M,Employment,Unemployed,... if she burns the food,5.2
19,Afghanistan,M,Education,Primary,... if she burns the food,6.3
20,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,6.3
21,Afghanistan,M,Education,Secondary,... if she burns the food,7.1
22,Afghanistan,M,Age,25-34,... if she burns the food,8.2
23,Afghanistan,M,Employment,Employed for cash,... if she burns the food,8.4
24,Afghanistan,M,Marital status,Married or living together,... if she burns the food,8.5
25,Afghanistan,M,Age,35-49,... if she burns the food,8.6
26,Afghanistan,M,Age,15-24,... if she burns the food,9.4
27,Afghanistan,M,Residence,Rural,... if she burns the food,9.7
28,Afghanistan,M,Education,No education,... if she burns the food,10.6
29,Afghanistan,M,Employment,Employed for kind,... if she burns the food,10.7
30,Afghanistan,F,Age,15-24,... for at least one specific reason,56.35000000000001
31,Afghanistan,F,Age,25-34,... for at least one specific reason,56.35000000000001
32,Afghanistan,F,Age,35-49,... for at least one specific reason,56.35000000000001
33,Afghanistan,F,Age,15-24,... if she argues with him,56.35000000000001
34,Afghanistan,F,Age,25-34,... if she argues with him,56.35000000000001
